’d7ff41d,吴玉荣,2022-09-09 15:21:09 +0800,压缩图片’
’14a5c48,吴玉荣,2022-09-09 15:18:58 +0800,优化样式’
’8399bd7,吴玉荣,2022-09-09 15:15:16 +0800,更换图片’
’fbd4d4d,吴玉荣,2022-09-09 13:01:30 +0800,样式修改’
’7b3a303,zhaozhuoboy,2022-09-09 11:08:37 +0800,Merge branch 'feat/v2' of code.geekbang.org:fe/b.geekbang.org into feat/v2’
’e75790e,zhaozhuoboy,2022-09-09 11:08:34 +0800,调整客户案例文案’
’ed67942,mingyang.hao,2022-09-09 11:00:51 +0800,Merge branch 'feat/v2' into f_home_index’
’afec029,mingyang.hao,2022-09-09 11:00:11 +0800,merge-feat/v2’
’2742471,danny.zhao,2022-09-09 02:58:08 +0000,Merge branch 'feat/v2_wu' into 'feat/v2'’
’0be16fd,mingyang.hao,2022-09-09 10:56:22 +0800,首页替换图片’
’a62a795,吴玉荣,2022-09-09 10:56:03 +0800,优化样式’
’c7b7381,mingyang.hao,2022-09-09 10:49:49 +0800,fix-style’
’c5f4458,zhaozhuoboy,2022-09-09 10:21:45 +0800,style: 调整样式’
’4543fa7,zhaozhuoboy,2022-09-09 10:17:32 +0800,ui走查’
’c8e0a56,zhaozhuoboy,2022-09-08 19:00:12 +0800,调整好内容页面轮播速度’
’5fe3904,zhaozhuoboy,2022-09-08 18:46:05 +0800,页面中 改为’
’535446f,zhaozhuoboy,2022-09-08 18:43:35 +0800,Merge branch 'feat/v2' of code.geekbang.org:fe/b.geekbang.org into feat/v2’
’9bd1134,zhaozhuoboy,2022-09-08 18:43:29 +0800,页面中 改为’
’202742d,danny.zhao,2022-09-08 10:34:41 +0000,Merge branch 'feat/v2_skx' into 'feat/v2'’
’903b2f2,shikexin,2022-09-08 18:14:45 +0800,style:好内容 hover简介修改’
’5ad0779,shikexin,2022-09-08 18:10:41 +0800,style:好内容修改swiper 滚动速率 人物简介滚动条’
’a1b3189,danny.zhao,2022-09-08 10:03:28 +0000,Merge branch 'f_product' into 'feat/v2'’
’7216b47,yuky.zhang,2022-09-08 17:50:25 +0800,style: 图片替换’
’687e2e9,yuky.zhang,2022-09-08 17:47:59 +0800,Merge branch 'feat/v2' into f_product’
’fce8d0a,yuky.zhang,2022-09-08 17:46:55 +0800,style: 好服务图片替换’
’9cfa6cb,zhaozhuoboy,2022-09-08 16:43:42 +0800,Merge branch 'feat/v2' of code.geekbang.org:fe/b.geekbang.org into feat/v2’
’89e9c5c,zhaozhuoboy,2022-09-08 16:43:38 +0800,更换logo’
’f72c5a5,danny.zhao,2022-09-08 08:38:51 +0000,Merge branch 'f_product' into 'feat/v2'’
’2aa2e38,yuky.zhang,2022-09-08 16:36:16 +0800,style: 图片替换’
’dab7a02,yuky.zhang,2022-09-08 16:29:20 +0800,Merge branch 'feat/v2' into f_product’
’0a4385b,yuky.zhang,2022-09-08 16:28:58 +0800,style: 图片替换’
’8dbf53f,danny.zhao,2022-09-08 08:26:12 +0000,Merge branch 'feat/v2_skx' into 'feat/v2'’
’ca22915,shikexin,2022-09-08 16:24:08 +0800,style:好内容样式调整’
’e1ae290,yuky.zhang,2022-09-08 16:03:11 +0800,style: 样式调整’
’98fe423,danny.zhao,2022-09-08 07:58:33 +0000,Merge branch 'feat/v2_wu' into 'feat/v2'’
’48e1170,mingyang.hao,2022-09-08 15:37:06 +0800,替换背景’
’8356dd6,mingyang.hao,2022-09-08 15:18:48 +0800,修改按钮文字’
’a4469af,吴玉荣,2022-09-08 15:08:30 +0800,调整样式’
’bbfd372,mingyang.hao,2022-09-08 14:51:35 +0800,bugfix-div点击有蓝色阴影’
’daaa966,mingyang.hao,2022-09-08 14:30:59 +0800,Merge branch 'feat/v2' into f_home_index’
